Date,JABAX
1992-09-01,2.744941829
1992-09-02,2.744941829
1992-09-03,2.750431713
1992-09-04,2.750431713
1992-09-08,2.742196887
1992-09-09,2.739451945
1992-09-10,2.76141148
1992-09-11,2.772391247
1992-09-14,2.808075491
1992-09-15,2.805330549
1992-09-16,2.79160584
1992-09-17,2.813565375
1992-09-18,2.857484444
1992-09-21,2.835524909
1992-09-22,2.805330549
1992-09-23,2.797095724
1992-09-24,2.819055258
1992-09-25,2.79160584
1992-09-28,2.786115956
1992-09-29,2.788860898
1992-09-30,2.810820433
1992-10-01,2.805330549
1992-10-02,2.79160584
1992-10-05,2.76141148
1992-10-06,2.783371014
1992-10-07,2.777881131
1992-10-08,2.794350782
1992-10-09,2.788860898
1992-10-12,2.805330549
1992-10-13,2.8218002
1992-10-14,2.830035026
1992-10-15,2.841014793
1992-10-16,2.849249618
1992-10-19,2.873954095
1992-10-20,2.879443978
1992-10-21,2.887678804
1992-10-22,2.884933862
1992-10-23,2.884933862
1992-10-26,2.898658571
1992-10-27,2.898658571
1992-10-28,2.920618106
1992-10-29,2.934342815
1992-10-30,2.920618106
1992-11-02,2.923363048
1992-11-03,2.917873164
1992-11-04,2.906893397
1992-11-05,2.917873164
1992-11-06,2.92610799
1992-11-09,2.942577641
1992-11-10,2.945322582
1992-11-11,2.945322582
1992-11-12,2.953557408
1992-11-13,2.959047292
1992-11-16,2.948067524
1992-11-17,2.942577641
1992-11-18,2.950812466
1992-11-19,2.961792233
1992-11-20,2.972772001
1992-11-23,2.975516942
1992-11-24,2.994731535
1992-11-25,3.005711303
1992-11-27,3.002966361
1992-11-30,3.008456244
1992-12-01,3.008456244
1992-12-02,2.997476477
1992-12-03,2.994731535
1992-12-04,2.994731535
1992-12-07,3.011201186
1992-12-08,3.019436012
1992-12-09,3.01669107
1992-12-10,3.008456244
1992-12-11,3.011201186
1992-12-14,3.008456244
1992-12-15,3.011201186
1992-12-16,3.011201186
1992-12-17,3.030415779
1992-12-18,3.044140488
1992-12-21,3.04688543
1992-12-22,3.055120256
1992-12-23,3.066100023
1992-12-24,3.068844965
1992-12-28,3.074334848
1992-12-29,3.068844965
1992-12-30,3.082569674
