Date,VIMSX
1998-05-21,6.250018547
1998-05-22,6.193992484
1998-05-26,6.100615713
1998-05-27,6.057039887
1998-05-28,6.113065949
1998-05-29,6.106840831
1998-06-01,6.050814769
1998-06-02,6.063265005
1998-06-03,6.038364532
1998-06-04,6.094390595
1998-06-05,6.137966422
1998-06-08,6.162866894
1998-06-09,6.181542248
1998-06-10,6.113065949
1998-06-11,6.038364532
1998-06-12,6.01346406
1998-06-15,5.895186817
1998-06-16,5.957437997
1998-06-17,6.032139414
1998-06-18,5.98233847
1998-06-19,5.957437997
1998-06-22,6.019689178
1998-06-23,6.081940359
1998-06-24,6.106840831
1998-06-25,6.100615713
1998-06-26,6.106840831
1998-06-29,6.162866894
1998-06-30,6.156641776
1998-07-01,6.250018547
1998-07-02,6.243793429
1998-07-06,6.262468783
1998-07-07,6.268693901
1998-07-08,6.318494846
1998-07-09,6.318494846
1998-07-10,6.30604461
1998-07-13,6.30604461
1998-07-14,6.324719964
1998-07-15,6.362070672
1998-07-16,6.399421381
1998-07-17,6.405646499
1998-07-20,6.411871617
1998-07-21,6.299819492
1998-07-22,6.243793429
1998-07-23,6.119291067
1998-07-24,6.075715241
1998-07-27,6.057039887
1998-07-28,5.938762643
1998-07-29,5.920087289
1998-07-30,6.032139414
1998-07-31,5.913862171
1998-08-03,5.876511462
1998-08-04,5.68975792
1998-08-05,5.633731858
1998-08-06,5.733333747
1998-08-07,5.839160754
1998-08-10,5.770684455
1998-08-11,5.621281621
1998-08-12,5.739558865
1998-08-13,5.683532802
1998-08-14,5.652407212
1998-08-17,5.68975792
1998-08-18,5.801810046
1998-08-19,5.752009101
1998-08-20,5.702208156
1998-08-21,5.608831385
1998-08-24,5.596381149
1998-08-25,5.577705795
1998-08-26,5.46565367
1998-08-27,5.229099183
1998-08-28,5.14194753
1998-08-31,4.824466508
1998-09-01,4.98009446
1998-09-02,5.04234564
1998-09-03,4.986319578
1998-09-04,5.004994932
1998-09-08,5.235324301
1998-09-09,5.135722412
1998-09-10,5.029895404
1998-09-11,5.154397766
1998-09-14,5.266449891
1998-09-15,5.297575481
1998-09-16,5.353601544
1998-09-17,5.247774537
1998-09-18,5.285125245
1998-09-21,5.278900127
1998-09-22,5.322475954
1998-09-23,5.471878788
1998-09-24,5.36605178
1998-09-25,5.36605178
1998-09-28,5.409627607
1998-09-29,5.378502016
1998-09-30,5.272675009
1998-10-01,5.092146585
1998-10-02,5.14194753
1998-10-05,4.973869342
1998-10-06,4.973869342
1998-10-07,4.905393043
1998-10-08,4.743539973
1998-10-09,4.874267452
1998-10-12,4.992544696
1998-10-13,4.936518633
1998-10-14,5.04234564
1998-10-15,5.247774537
1998-10-16,5.33492619
1998-10-19,5.415852725
1998-10-20,5.446978315
1998-10-21,5.446978315
1998-10-22,5.503004378
1998-10-23,5.478103906
1998-10-26,5.552805323
1998-10-27,5.540355086
1998-10-28,5.571480677
1998-10-29,5.646182094
1998-10-30,5.745783983
1998-11-02,5.882736581
1998-11-03,5.857836108
1998-11-04,5.969888234
1998-11-05,6.01346406
1998-11-06,6.057039887
1998-11-09,6.007238942
1998-11-10,5.976113352
1998-11-11,5.938762643
1998-11-12,5.951212879
1998-11-13,5.951212879
1998-11-16,5.969888234
1998-11-17,6.007238942
1998-11-18,6.057039887
1998-11-19,6.088165477
1998-11-20,6.094390595
1998-11-23,6.156641776
1998-11-24,6.131741303
1998-11-25,6.162866894
1998-11-27,6.200217602
1998-11-30,6.038364532
1998-12-01,6.069490123
1998-12-02,6.081940359
1998-12-03,6.050814769
1998-12-04,6.125516185
1998-12-07,6.212667838
1998-12-08,6.187767366
1998-12-09,6.187767366
1998-12-10,6.069490123
1998-12-11,6.050814769
1998-12-14,5.932537525
1998-12-15,5.988563588
1998-12-16,6.001013824
1998-12-17,6.094390595
1998-12-18,6.113065949
1998-12-21,6.231343193
1998-12-22,6.200217602
1998-12-23,6.318494846
1998-12-24,6.330945082
1998-12-28,6.418096735
1998-12-29,6.444864743
1998-12-30,6.520319399
1998-12-31,6.784401358
1999-01-04,6.727808809
1999-01-05,6.752958286
1999-01-06,6.834700312
1999-01-07,6.778113989
1999-01-08,6.765533025
1999-01-11,6.715234071
1999-01-12,6.652360378
1999-01-13,6.627204676
1999-01-14,6.539181507
1999-01-15,6.646073009
1999-01-19,6.671222486
1999-01-20,6.627204676
1999-01-21,6.532894137
1999-01-22,6.51403203
1999-01-25,6.507738435
1999-01-26,6.532894137
1999-01-27,6.488876327
1999-01-28,6.539181507
1999-01-29,6.520319399
1999-02-01,6.539181507
1999-02-02,6.47001422
1999-02-03,6.564330984
1999-02-04,6.444864743
1999-02-05,6.363122717
1999-02-08,6.394565789
1999-02-09,6.268812178
1999-02-10,6.218506999
1999-02-11,6.363122717
1999-02-12,6.237369107
1999-02-16,6.249943845
1999-02-17,6.155633307
1999-02-18,6.205932261
1999-02-19,6.218506999
1999-02-22,6.325398502
1999-02-23,6.325398502
1999-02-24,6.268812178
1999-02-25,6.21221963
1999-02-26,6.180782784
1999-03-01,6.205932261
1999-03-02,6.237369107
1999-03-03,6.199644891
1999-03-04,6.275099548
1999-03-05,6.331685871
1999-03-08,6.375697456
1999-03-09,6.319111132
1999-03-10,6.344260609
1999-03-11,6.363122717
1999-03-12,6.319111132
1999-03-15,6.350547979
1999-03-16,6.363122717
1999-03-17,6.375697456
1999-03-18,6.407140527
1999-03-19,6.287674286
1999-03-22,6.262524809
1999-03-23,6.13048383
1999-03-24,6.21221963
1999-03-25,6.306536394
1999-03-26,6.300249025
1999-03-29,6.426120912
1999-03-30,6.326749352
1999-03-31,6.359873206
1999-04-01,6.366496731
1999-04-05,6.419497386
1999-04-06,6.373120257
1999-04-07,6.286995748
1999-04-08,6.379743782
1999-04-09,6.40624411
1999-04-12,6.426120912
1999-04-13,6.459244765
1999-04-14,6.498992144
1999-04-15,6.558616325
1999-04-16,6.604993455
1999-04-19,6.545369274
1999-04-20,6.598369929
1999-04-21,6.717612066
1999-04-22,6.763989196
1999-04-23,6.770612721
1999-04-26,6.816989851
1999-04-27,6.830236902
1999-04-28,6.869984281
1999-04-29,6.916361411
1999-04-30,6.85673723
1999-05-03,6.969362066
1999-05-04,6.929608462
1999-05-05,6.969362066
1999-05-06,6.869984281
1999-05-07,6.929608462
1999-05-10,6.969362066
1999-05-11,7.042233298
1999-05-12,7.088610428
1999-05-13,7.121734281
1999-05-14,6.949485264
1999-05-17,6.942861738
1999-05-18,6.922984936
1999-05-19,7.022356496
1999-05-20,7.028986247
1999-05-21,7.009109445
1999-05-24,6.896484609
1999-05-25,6.8103601
1999-05-26,6.850113704
1999-05-27,6.850113704
1999-05-28,6.889861083
1999-06-01,6.843490179
1999-06-02,6.903108134
1999-06-03,6.936238213
1999-06-04,7.028986247
1999-06-07,7.108481005
1999-06-08,6.995856169
1999-06-09,7.022356496
1999-06-10,6.982609117
1999-06-11,6.949485264
1999-06-14,6.903108134
1999-06-15,6.962732315
1999-06-16,7.075357151
1999-06-17,7.11510453
1999-06-18,7.101857479
1999-06-21,7.16148166
1999-06-22,7.121734281
1999-06-23,7.174728711
1999-06-24,7.042233298
1999-06-25,7.042233298
1999-06-28,7.121734281
1999-06-29,7.240976418
1999-06-30,7.267476745
1999-07-01,7.300600599
1999-07-02,7.320477401
1999-07-06,7.333724452
1999-07-07,7.293977073
1999-07-08,7.327100926
1999-07-09,7.353601254
1999-07-12,7.353601254
1999-07-13,7.320477401
1999-07-14,7.393348633
1999-07-15,7.459602565
1999-07-16,7.46622609
1999-07-19,7.399978384
1999-07-20,7.26085322
1999-07-21,7.346977728
1999-07-22,7.280730022
1999-07-23,7.247606169
1999-07-26,7.128357807
1999-07-27,7.227729367
1999-07-28,7.194605513
1999-07-29,7.081980677
1999-07-30,7.11510453
1999-08-02,7.081980677
1999-08-03,7.009109445
1999-08-04,6.916361411
1999-08-05,6.95610879
1999-08-06,6.903108134
1999-08-09,6.896484609
1999-08-10,6.803736575
